ColumnTag,Data Element,ColumnUse,Source,Type,Use,UseDetail,UseDetail2
STATE,State postal abbreviation,n,,,,
STATEFIPS,State FIPS code,n,,,,
COUNTY,County name,n,,,,
COUNTYFIPS,County FIPS code,n,,,,
FIPS,Concatenated State-county FIPS code,n,,,,
YEAR,Year of data=2010,n,,,,
TP-TotPop,"Total population of county, in thousands",n,,,,
PS-GWPop,"Public Supply, population served by groundwater, in thousands",n,,,,
PS-SWPop,"Public Supply, population served by surface water, in thousands",n,,,,
PS-TOPop,"Public Supply, total population served, in thousands",n,,,,
PS-WGWFr,"Public Supply,  groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Public Supply,
PS-WGWSa,"Public Supply, groundwater withdrawals, saline, in Mgal/d",y,Ground,Saline,Public Supply,
PS-WGWTo,"Public Supply, groundwater withdrawals, total, in Mgal/d",n,,,,
PS-WSWFr,"Public Supply, surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Public Supply,
PS-WSWSa,"Public Supply, surface-water withdrawals, saline, in Mgal/d",y,Surface,Saline,Public Supply,
PS-WSWTo,"Public Supply, surface-water withdrawals, total, in Mgal/d",n,,,,
PS-WFrTo,"Public Supply, total withdrawals, fresh, in Mgal/d",n,,,,
PS-WSaTo,"Public Supply, total withdrawals, saline, in Mgal/d",n,,,,
PS-Wtotl,"Public Supply, total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
DO-SSPop,"Domestic, self-supplied population, in thousands",n,,,,
DO-WGWFr,"Domestic, self-supplied groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Domestic,
DO-WSWFr,"Domestic, self-supplied surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Domestic,
DO-WFrTo,"Domestic, total self-supplied withdrawals, fresh, in Mgal/d",n,,,,
DO-SSPCp,"Domestic self-supplied per capita use, in gallons/day [DO-WFrTo/DO-SSPop*1000]",n,,,,
DO-PSDel,"Domestic, deliveries from Public Supply, in Mgal/d",n,,,,
DO-PSPCp,"Domestic, publicly supplied per capita use, in gallons/day [DO-PSDel/PS-TOPop]",n,,,,
DO-TOTAL ,"Domestic, total use (withdrawals + deliveries)",n,,,,
IN-WGWFr,"Industrial, self-supplied groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Industrial,
IN-WGWSa,"Industrial, self-supplied groundwater withdrawals, saline, in Mgal/d",y,Ground,Saline,Industrial,
IN-WGWTo,"Industrial, self-supplied groundwater withdrawals, total, in Mgal/d",n,,,,
IN-WSWFr,"Industrial, self-supplied surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Industrial,
IN-WSWSa,"Industrial, self-supplied surface-water withdrawals, saline, in Mgal/d",y,Surface,Saline,Industrial,
IN-WSWTo,"Industrial, self-supplied surface-water withdrawals, total, in Mgal/d",n,,,,
IN-WFrTo,"Industrial, self-supplied total withdrawals, fresh, in Mgal/d",n,,,,
IN-WSaTo,"Industrial, self-supplied total withdrawals, saline, in Mgal/d",n,,,,
IN-Wtotl,"Industrial, self-supplied total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
IR-WGWFr,"Irrigation, groundwater withdrawals, fresh, in Mgal/d",n,,,,
IR-WSWFr,"Irrigation, surface-water withdrawals, fresh, in Mgal/d",n,,,,
IR-WFrTo,"Irrigation, total withdrawals, fresh, in Mgal/d",n,,,,
IR-IrSpr,"Irrigation, acres irrigated, sprinkler, in thousands",n,,,,
IR-IrMic,"Irrigation, acres irrigated, microirrigation, in thousands",n,,,,
IR-IrSur,"Irrigation, acres irrigated, surface (flood), in thousands",n,,,,
IR-IrTot,"Irrigation, acres irrigated, total, in thousands",n,,,,
