STATE,COUNTY,PS-WGWFr,PS-WGWSa,PS-WSWFr,PS-WSWSa,DO-WGWFr,DO-WSWFr,IN-WGWFr,IN-WGWSa,IN-WSWFr,IN-WSWSa,IR-WGWFr,IR-WSWFr,IR-IrSpr,IR-IrMic,IR-IrSur,IC-WGWFr,IC-WSWFr,IC-IrSpr,IC-IrMic,IC-IrSur,IG-WGWFr,IG-WSWFr,IG-IrSpr,IG-IrMic,IG-IrSur,LI-WGWFr,LI-WSWFr,AQ-WGWFr,AQ-WGWSa,AQ-WSWFr,AQ-WSWSa,MI-WGWFr,MI-WGWSa,MI-WSWFr,MI-WSWSa,PT-WGWFr,PT-WGWSa,PT-WSWFr,PT-WSWSa,PO-WGWFr,PO-WGWSa,PO-WSWFr,PO-WSWSa,PC-WGWFr,PC-WGWSa,PC-WSWFr,PC-WSWSa
AL,Autauga County,5.09,0.00,0.00,0.00,0.37,0.00,9.89,0.00,31.14,0.00,2.88,0.06,1.90,0.03,0.02,2.88,0.00,1.80,0.03,0.02,0.00,0.06,0.10,0.00,0.00,0.06,0.09,0.00,,0.00,,0.09,0.00,0.04,0.00,0.00,0.00,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.84,0.00
AL,Baldwin County,22.97,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00,32.30,6.66,12.44,0.43,0.17,32.30,5.07,10.30,0.43,0.17,0.00,1.59,2.14,0.00,0.00,0.16,0.19,0.00,,0.16,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Barbour County,4.15,0.00,0.00,0.00,0.15,0.00,1.58,0.00,0.00,0.00,0.46,1.71,3.23,0.07,0.00,0.46,1.52,2.93,0.07,0.00,0.00,0.19,0.30,0.00,0.00,0.15,0.23,0.09,,2.34,,0.13,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Bibb County,4.89,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.63,0.06,0.40,0.00,0.00,0.63,0.00,0.30,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.03,0.04,0.00,,1.45,,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Blount County,2.44,0.00,52.17,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.12,0.36,0.96,0.01,0.00,0.12,0.12,0.55,0.01,0.00,0.00,0.24,0.41,0.00,0.00,0.47,0.51,0.00,,0.00,,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Bullock County,2.30,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.29,0.32,0.24,0.00,0.00,0.29,0.29,0.18,0.00,0.00,0.00,0.03,0.06,0.00,0.00,0.05,0.09,0.00,,0.00,,0.04,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Butler County,2.70,0.00,0.00,0.00,0.28,0.00,0.30,0.00,0.00,0.00,0.02,0.32,0.44,0.00,0.00,0.02,0.01,0.06,0.00,0.00,0.00,0.31,0.38,0.00,0.00,0.16,0.24,0.27,,0.23,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Calhoun County,20.83,0.00,2.47,0.00,0.51,0.00,0.97,0.00,0.00,0.00,0.00,4.09,3.35,0.00,0.00,0.00,3.44,2.47,0.00,0.00,0.00,0.65,0.88,0.00,0.00,0.13,0.19,0.00,,0.02,,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Chambers County,0.00,0.00,4.31,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.39,0.00,0.00,0.17,0.00,0.33,0.00,0.00,0.00,0.03,0.06,0.00,0.00,0.07,0.11,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Cherokee County,2.53,0.00,0.96,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,1.24,1.45,0.00,0.00,0.00,1.18,1.35,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.11,0.17,0.00,,0.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
